round_dir	species	reference	foliage	photo_width_over_height	still_width_over_height	photo_crown_base	still_crown_base	photo_occupied	still_occupied	photo_outline_deviation	still_outline_deviation	photo_centre_mean	still_centre_mean	still_sha256	pair_sha256
round16-fn40	silver-birch	S-WHOLE	leaf-on	0.8461	0.8712	0.0800	0.1429	0.4426	0.4806	0.2189	0.1055	83.0000	52.4000	954410204d57a4d237e2ba369bf5919cb3c0607ac194e225ade2bdaa848b54a6	391a5870b8625f44d79b55bdc0d4288ecd2e25f6bc355489bc28be3688f322f9
round17-merge	european-beech	B-BARE	hidden	0.7417	0.7226	0.2500	0.2438	0.2813	0.4382	0.2937	0.0726	99.9000	123.2000	19b608513c49a806c347e7abad8fff0a0936192c4c2518ee27721c07588d8caa	348f2d452c57e747546919ad3f8a6c0abfd06408477c8bda94a089120a494738
round17-merge	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.1063	0.0454	0.0921		0.1396	129.7000	101.1000	0f306dd64dad7700baefd8198284e6549761a0fa831de03281831b779c8d4f62	2d5820dd8abaead1073dc80053e78dca485bb51db31084e21f83951f24f0a23b
round17-merge	european-beech	B-WHOLE	leaf-on	0.6965	0.7407	0.1200	0.0928	0.4566	0.6697	0.2274	0.0715	79.7000	56.5000	c0f91c133180cca8f9e7513df0398d596c2c1976db165d6eb5dce83f94170bed	dca907f5fd61e244b72db98595d128897e27ca30552615367a82551fa9dd38c1
round17-merge	silver-birch	S-BARE	hidden	0.7018	0.6784	0.1500	0.1676	0.4587	0.5298	0.1676	0.0847	91.3000	81.0000	18bb90f9d78f663f82b891032e689d7001d414867c83116b5378615ee699b18e	2fab9ea4231ef035c47fa0aee3b9b5c3025539d20ad55c5ce9e1796f3c8351de
round17-merge	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.3131	0.1311	0.5054	92.4000	166.6000	e20d2f30fc2c1a16af5dbc9085c7ebc9063a12059b1ff49831f647c2bf1c4fb3	5b51f678c0f0fd8a4870ef9b2d44122b36812937343c4dcf21dc74e8147dedc0
round17-merge	silver-birch	S-WHOLE	leaf-on	0.8461	0.8718	0.0800	0.1471	0.4426	0.4767	0.2189	0.1071	83.0000	70.8000	1e0ad99a5722d2b57e9111757d1acf14cd0b52453d569a5b582b20f1d6666b33	3b89e00d1ab5b33c49bf920fbbbd365471833b358ec4a22e99e5fe889d25e276
round18-beech	european-beech	B-BARE	hidden	0.7417	0.7231	0.2500	0.2387	0.2813	0.4390	0.2937	0.0724	99.9000	123.3000	0c37a5d0e785a125fa0daf94374bb09b04d7845a18aa57a7e48e27e479521dce	a8c5a1f9b6e42dbdade8655859a44bd3f337b97ac9aa7a0d3d09a803e8d306a6
round18-beech	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.1063	0.0454	0.0921		0.1426	129.7000	101.1000	3e9e31d0f3706cfb3fb576c9f746f839e2e604ae21ad7a3de213a0d80bb2082a	60c2e5122056901bc2d9b9592bde981f0887e3acfd1c118c70b69c73ac0c4655
round18-beech	european-beech	B-WHOLE	leaf-on	0.6965	0.7372	0.1200	0.0923	0.4566	0.6666	0.2274	0.0726	79.7000	62.8000	0195c00d9861d1d76a1eaac9c865d7eb60127f2b4b1e2d8c9d2bbccaa44c74f5	786f3a6e8a1a647a0d5905dcf6ffd855ebe7629356ba28d088eca3848549c723
round19-fn54	european-beech	B-BARE	hidden	0.7417	0.7358	0.2500	0.3034	0.2813	0.4163	0.2937	0.1244	99.9000	98.7000	c7a4db667d6df72893c258e27ce2a51b4b123a7cdb07a9d8b4889a8f080c3bce	51073ea98c7a7b930854d494bd141323fda688f5f062cedea46e965b7da1b872
round19-fn54	european-beech	B-BASE	hidden	0.6000	0.6674	1.0000	0.0222	0.0454	0.0914		0.1333	129.7000	99.5000	61e424b571d23bd57e414692ea85655c1f8aa277a31bd7e130552bd6dfca4fab	d8d6228363a48a2c1e255bec08427dbb98eda53366a30827e4c11c5ebdd23be6
round19-fn54	european-beech	B-WHOLE	leaf-on	0.6965	0.7510	0.1200	0.0952	0.4566	0.5324	0.2274	0.1700	79.7000	53.2000	1521b60cf86c4a623b644524c5e62c65aa4c1efe948c2742233bc7629d41011e	e7b110b521faf5ea7c6bd720f6bd917ab1e64d52a5c5f376cc99596d1d52ed99
round20-fn48c	silver-birch	S-BARE	hidden	0.7018	0.6718	0.1500	0.1618	0.4587	0.5183	0.1676	0.0988	91.3000	78.8000	1b512704aef5d0679ee41dd409e96c062df1621a61cd589a52aec574e7c31184	bb8d132fdc12885c2d88492e35ce0d608b77351f5f662ae0b1e172b7df932e96
round20-fn48c	silver-birch	S-BARK	hidden	1.0675	1.3347	1.0000	0.0000	0.4708	0.2860	0.1311		92.4000	163.8000	fb450042d60ec976d718b6cca087639929bfe9a36735f54e25cfd8b11be676cd	ad30306fa9bc591f606f30208ad77c26416e1934223392f5f0e656d729ad5fbc
round20-fn48c	silver-birch	S-WHOLE	leaf-on	0.8461	0.8854	0.0800	0.1404	0.4426	0.4665	0.2189	0.1106	83.0000	43.7000	8db863f101b6c16b54359dd3a44075d9f298eefc4404f3e4d1496e9355979192	87888b4130d0aeadb312c7cf3ccf1fb44cce53edf95fc312e52882281a264f38
round21-integration	silver-birch	S-BARE	hidden	0.7018	0.6690	0.1500	0.1960	0.4587	0.4880	0.1676	0.1046	91.3000	86.4000	8c32061600e2d8ee15fb4115138501ddebdfc28b3347a61c245aea4bba583598	91562280e8abe47140f931b96d9a05af203a24fdb7d1d2914b5902df4ea8d37b
